Frasi;Contesto
Cosa consigli a chi vuole iniziare a viaggiare in solitario?;AL
Quali sono le tre cose che non puoi assolutamente fare a meno nella vita quotidiana?;AL
Qual è il tuo posto preferito al mondo e perché?;AL
Cosa pensi ti renda una persona interessante?;AL
Cosa faresti se avessi un mese di vacanza pagata ovunque nel mondo?;AL
Qual è la tua idea per rendere il mondo un posto migliore?;AL
Chi sono i tuoi idoli o modelli di riferimento e perché li ammiri?;AL
Cosa ne pensi davvero dei reality show in TV? Ti piacciono?;AL
Meglio essere il numero uno in una cosa o bravi in tante cose diverse? Tu cosa scegli?;AL
Qual è il segreto per mantenere vivo un rapporto di coppia a lungo termine secondo te?;AL
Cosa consigli a un amico/a che deve affrontare un colloquio di lavoro importante?;AL
Se potessi vivere in un'altra epoca storica, quale sceglieresti?;AL
Città o campagna? Dove ti piacerebbe vivere e perché?;AL
Qual è la cosa che ti rende davvero felice nella vita quotidiana?;AL
Come ti immagini tra 10 anni? Dove ti vedi e cosa fai nella vita futura ideale?;AL
Quali sono i tuoi 3 film preferiti di sempre e perché proprio quelli?;AL
Dimmi 3 cose di cui non potresti assolutamente fare a meno nella vita;AL
Qual è la lezione più importante che i tuoi genitori ti hanno insegnato?;AL
Qual è il tuo più grande sogno ad occhi aperti?;AL
Cosa ne pensi davvero dei reality show e talent in TV?;AL
Preferisci pianificare tutto o lasciarti sorprendere dagli eventi?;AL
Da che cosa trai ispirazione e motivazione nei momenti difficili?;AL
Chi è la persona che ti ha dato i consigli migliori finora?;AL
Come ti tieni in forma ed energico nella routine quotidiana?;AL
Qual è il tuo modo preferito per ricaricarti e recuperare le energie?;AL
Che cosa ti rende veramente felice e grato ogni giorno?;AL
Qual è il miglior consiglio che daresti a un amico giù di morale?;AL
Cosa ne pensi davvero dei bot e dell'intelligenza artificiale?;AL
