Frasi;Contesto
Inserisci un alert per ricordarmi dell'aperitivo con gli amici questa sera.;EV
Crea un memo per non dimenticare di portare fuori la spazzatura.;EV
Attiva un reminder per l'incontro con l'avvocato la prossima settimana.;EV
Metti un avviso sulla visita dei suoceri il prossimo weekend.;EV
Inserisci un promemoria per ricordarmi della lezione di yoga.;EV
Crea una nota sul pagamento delle utenze domestiche.;EV
Attiva una sveglia per non scordare la scadenza della carta di credito.;EV
Metti un alert sul compleanno della mia migliore amica.;EV
Inserisci un memo per ricordarmi dell'allenamento in palestra.;EV
Crea un promemoria per la scadenza dell'assicurazione auto.;EV
Attiva un avviso sul vaccino antinfluenzale annuale.;EV
Metti un reminder per non dimenticare la cena con i colleghi.;EV
Inserisci una nota sul compleanno di mia sorella.;EV
Crea una sveglia per ricordarmi della visita medica di controllo.;EV
Attiva un alert per la festa di pensionamento del mio capo.;EV
Metti un promemoria sul pagamento delle tasse comunali.;EV
Inserisci un avviso per non scordare l'appuntamento dal parrucchiere.;EV
Crea un memo sul controllo della caldaia prima dell'inverno.;EV
Attiva un reminder per ricordarmi di ritirare le analisi del sangue.;EV
Metti una nota sulla scadenza della carta d'identità.;EV
Inserisci una sveglia per non dimenticare il compleanno di mia moglie.;EV
Crea un alert sul vaccino antinfluenzale annuale.;EV
Attiva un promemoria per ricordarmi della lezione di nuoto.;EV
Metti un avviso sull'appuntamento con l'idraulico la prossima settimana.;EV
Inserisci un memo per non scordare la visita dal dentista.;EV
Crea un reminder sul compleanno del mio ex compagno di scuola.;EV
Attiva una nota per ricordarmi di portare fuori l'immondizia.;EV
Metti una sveglia sulla scadenza dell'assicurazione sulla casa.;EV
Inserisci un alert per l'esame universitario di la settimana prossima.;EV
Crea un promemoria sul pagamento delle bollette in scadenza.;EV
Attiva un avviso per non dimenticare la festa di compleanno a sorpresa.;EV
Metti un memo per ricordarmi della visita dall'oculista.;EV
Inserisci un reminder sulla data di nascita di mio nipote.;EV
Crea una nota per il controllo annuale della caldaia.;EV
Attiva una sveglia sul compleanno dei miei suoceri.;EV
Metti un promemoria per ricordarmi di portare l'auto dal meccanico.;EV
Inserisci un avviso sulla scadenza del passaporto.;EV
Crea un alert per non dimenticare la prenotazione delle vacanze estive.;EV
Attiva un memo sul pagamento del bollo auto.;EV
Metti un reminder per l'appuntamento dal nutrizionista la prossima settimana.;EV
Inserisci una nota sul compleanno del mio capo.;EV
Crea una sveglia per ricordarmi di ritirare le analisi mediche.;EV
Attiva un promemoria sulla visita dall'ottico il mese prossimo.;EV
Metti un avviso per non scordare il battesimo di mio nipote.;EV
Inserisci un alert sul pagamento delle tasse universitarie.;EV
Crea un memo per ricordarmi dell'esame di guida la settimana prossima.;EV
